division,team,games,wins,losses,win_pct,ab,hr,hr_pct
JUCO,College of Central Florida,63,44,17,0.6984,1712,53,0.031
JUCO,College of Southern Idaho,63,46,16,0.7302,1717,120,0.0699
JUCO,College of Southern Nevada,50,10,35,0.2,1287,40,0.0311
JUCO,Colorado Northwestern Community College,50,2,35,0.04,1128,19,0.0168
JUCO,Columbia State Community College,41,2,31,0.0488,959,13,0.0136
JUCO,Connors State College,53,38,12,0.717,1485,46,0.031
JUCO,Crowder College,65,44,21,0.6769,1753,64,0.0365
JUCO,Daytona State College,58,24,31,0.4138,1494,25,0.0167
JUCO,Dodge City Community College,46,13,33,0.2826,1119,14,0.0125
JUCO,Dyersburg State Community College,54,11,9,0.2037,1344,58,0.0432
JUCO,East Georgia State College,43,16,22,0.3721,1138,20,0.0176
JUCO,Eastern Arizona College,45,25,6,0.5556,1151,40,0.0348
JUCO,Eastern Florida State College,65,40,25,0.6154,1666,15,0.009
JUCO,Eastern Oklahoma State College,55,36,19,0.6545,1521,81,0.0533
JUCO,El Paso Community College,49,15,34,0.3061,1322,17,0.0129
JUCO,Florence-Darlington Technical College,50,17,4,0.34,1116,22,0.0197
JUCO,Florida Southwestern State College,67,57,10,0.8507,1702,26,0.0153
JUCO,Frank Phillips College,48,18,26,0.375,1268,39,0.0308
JUCO,Frontier Community College,53,26,25,0.4906,1483,40,0.027
JUCO,Galveston College,61,46,14,0.7541,1621,129,0.0796
JUCO,Garden City Community College,48,8,35,0.1667,1235,34,0.0275
JUCO,Gaston College,58,49,9,0.8448,1572,49,0.0312
JUCO,Georgia Highlands College,47,14,33,0.2979,1215,12,0.0099
JUCO,Georgia Military College,46,27,18,0.587,1275,36,0.0282
JUCO,Gordon State College,45,26,19,0.5778,1216,28,0.023
JUCO,Grayson College,55,38,17,0.6909,1450,89,0.0614
JUCO,Gulf Coast State College,55,40,15,0.7273,1479,33,0.0223
JUCO,Harford Community College,34,21,9,0.6176,990,25,0.0253
JUCO,Hill College,54,8,32,0.1481,1300,33,0.0254
JUCO,Hillsborough Community College,54,7,12,0.1296,1224,8,0.0065
JUCO,Howard College,56,26,29,0.4643,1458,62,0.0425
JUCO,Hutchinson Community College,59,47,12,0.7966,1703,58,0.0341
JUCO,Indian Hills Community College,59,34,24,0.5763,1680,64,0.0381
JUCO,Indian River State College,67,56,10,0.8358,1733,26,0.015
JUCO,Iowa Western Community College,60,40,19,0.6667,1620,84,0.0519
JUCO,Jackson State Community College,53,8,4,0.1509,1420,24,0.0169
JUCO,Jefferson College,52,35,13,0.6731,1401,92,0.0657
JUCO,John A. Logan College,60,49,11,0.8167,1689,39,0.0231
JUCO,Kaskaskia College,54,26,28,0.4815,1397,27,0.0193
JUCO,Kilgore College,46,0,17,0,1015,9,0.0089
JUCO,Lake Land College,62,51,11,0.8226,1603,51,0.0318
JUCO,Lamar Community College,38,15,23,0.3947,1035,28,0.0271
JUCO,Lamar State College - Port Arthur,56,10,15,0.1786,1424,17,0.0119
JUCO,Lincoln Trail College,57,1,4,0.0175,1432,35,0.0244
JUCO,Luna Community College,49,14,19,0.2857,1356,80,0.059
JUCO,Marshalltown Community College,26,6,16,0.2308,602,33,0.0548
JUCO,McCook Community College,55,34,20,0.6182,1616,51,0.0316
JUCO,McLennan Community College,65,61,4,0.9385,1719,86,0.05
JUCO,Metropolitan Community College,48,8,31,0.1667,1194,18,0.0151
JUCO,Miami Dade College,51,15,26,0.2941,1260,16,0.0127
JUCO,Midland College,58,45,13,0.7759,1587,84,0.0529
JUCO,Missouri State University - West Plains,54,26,12,0.4815,1376,36,0.0262
JUCO,Monroe University-Bronx,53,25,28,0.4717,1363,25,0.0183
JUCO,Motlow State Community College,51,18,25,0.3529,1256,11,0.0088
JUCO,Navarro College,51,21,26,0.4118,1562,43,0.0275
JUCO,North Central Missouri College,55,32,22,0.5818,1590,36,0.0226
JUCO,North Central Texas College,62,44,18,0.7097,1582,52,0.0329
JUCO,Northeast Texas Community College,46,3,4,0.0652,1138,46,0.0404
JUCO,Northeastern Junior College,47,20,23,0.4255,1285,62,0.0482
JUCO,Northeastern Oklahoma AM College,54,25,20,0.463,1502,46,0.0306
JUCO,Northern Oklahoma College-Enid,53,16,32,0.3019,1407,39,0.0277
JUCO,Northern Oklahoma College-Tonkawa,48,8,17,0.1667,1308,29,0.0222
JUCO,Northwest Florida State College,64,58,6,0.9062,1677,85,0.0507
JUCO,Northwest Kansas Technical College,48,1,29,0.0208,947,14,0.0148
JUCO,Northwest-Shoals Community College,59,16,36,0.2712,1577,8,0.0051
